state,city-J,city-E,population(thousand),%waiting,#waiting,%eldery,#eldery
Hyogo,明石市,Akashi,297,0.23 ,697,25.40 ,75.44 
Okayama,岡山市,Okayama,721,0.05 ,380,25.90 ,186.74 
Tokyo,世田谷区,Setagaya,916,0.09 ,851,20.10 ,184.05 
Tokyo,江戸川区,Edogawa,695,0.08 ,537,20.80 ,144.56 
Hyogo,西宮市,Nishinomiya,487.9,0.12 ,597,23.30 ,113.68 
Chiba,市川市,Ichikawa,481.7,0.10 ,466,33.00 ,158.96 
Hyogo,神戸市,Kobe,1537,0.04 ,670,27.10 ,416.53 
Tokyo,目黒区,Meguro,277.2,0.17 ,475,20.00 ,55.44 
Saitama,さいたま市,Saitama,1264,0.07 ,863,22.80 ,288.19 
Okinawa,沖縄市,Okinawa,139.3,0.20 ,273,18.00 ,25.07 
Tokyo,大田区,Ota,716.4,0.06 ,447,22.70 ,162.62 
Tokyo,府中市,Fucyu,260.3,0.10 ,250,20.80 ,54.14 
Okinawa,うるま市,Uruma,118.9,0.31 ,365,20.00 ,23.78 
Tokyo,足立区,Adachi,692.7,0.06 ,430,24.70 ,171.10 
Tokyo,国分寺市,Kokubunji,122.7,0.25 ,305,21.20 ,26.01 
Okinawa,南風原町,Haebaru,37.5,0.64 ,239,17.20 ,6.45 
Tokyo,三鷹市,Mitaka,186.9,0.13 ,243,21.20 ,39.62 
Tokyo,墨田区,Sumida,257.3,0.09 ,243,22.70 ,58.41 
Tokyo,中央区,Chuo,141.5,0.20 ,288,15.80 ,22.36 
Tokyo,板橋区,Itabashi,547.3,0.03 ,177,22.90 ,125.33 
Hyogo,姫路市,Himeji,535.7,0.07 ,396,25.20 ,135.00 
Tokyo,台東区,Taito,186.3,0.15 ,285,23.60 ,43.97 
Fukuoka,筑紫野市,Chikushino,101.1,0.21 ,216,22.80 ,23.05 
Tokyo,中野区,Nakano,322.7,0.06 ,178,21.30 ,68.74 
Chiba,浦安市,Urayasu,164,0.14 ,235,15.90 ,26.08 
