state,city-J,city-E,population(thousand),%waiting-pop,%waiting-workingF,#waiting,%eldery,#eldery,#female(20-45),#female working(20-45),#female working fulltime(20-45),%female working,%female working full
Hyogo,明石市,Akashi,297,0.235,2.560,697,25.4,75.44,44879,27226,19341,60.67,43.10
Okayama,岡山市,Okayama,721,0.053,0.491,380,25.9,186.74,114882,77387,57610,67.36,50.15
Tokyo,世田谷区,Setagaya,916,0.093,1.059,851,20.1,184.05,161122,80348,63114,49.87,39.17
Tokyo,江戸川区,Edogawa,695,0.077,0.851,537,20.8,144.56,115991,63070,45906,54.37,39.58
Hyogo,西宮市,Nishinomiya,487.9,0.122,1.321,597,23.3,113.68,78013,45187,31756,57.92,40.71
Chiba,市川市,Ichikawa,481.7,0.097,1.005,466,33,158.96,72666,46386,34894,63.83,48.02
Hyogo,神戸市,Kobe,1537,0.044,0.468,670,27.1,416.53,235911,143155,104031,60.68,44.10
Tokyo,目黒区,Meguro,277.2,0.171,1.584,475,20,55.44,58940,29994,24747,50.89,41.99
Saitama,さいたま市,Saitama,1264,0.068,0.700,863,22.8,288.19,201394,123327,88246,61.24,43.82
Okinawa,沖縄市,Okinawa,139.3,0.196,2.263,273,18,25.07,22658,12062,9592,53.24,42.33
Tokyo,大田区,Ota,716.4,0.062,0.592,447,22.7,162.62,125727,75564,60110,60.10,47.81
Tokyo,府中市,Fucyu,260.3,0.096,0.962,250,20.8,54.14,42645,25988,19031,60.94,44.63
Okinawa,うるま市,Uruma,118.9,0.307,3.565,365,20,23.78,17831,10237,8181,57.41,45.88
Tokyo,足立区,Adachi,692.7,0.062,0.811,430,24.7,171.10,105080,52995,38930,50.43,37.05
Tokyo,国分寺市,Kokubunji,122.7,0.249,2.530,305,21.2,26.01,21127,12056,8818,57.06,41.74
Okinawa,南風原町,Haebaru,37.5,0.637,5.562,239,17.2,6.45,6217,4297,3461,69.12,55.67
Tokyo,三鷹市,Mitaka,186.9,0.130,1.104,243,21.2,39.62,33885,22010,17158,64.95,50.64
Tokyo,墨田区,Sumida,257.3,0.094,0.884,243,22.7,58.41,47077,27476,21969,58.36,46.67
Tokyo,中央区,Chuo,141.5,0.204,1.661,288,15.8,22.36,32169,17334,14197,53.88,44.13
Tokyo,板橋区,Itabashi,547.3,0.032,0.323,177,22.9,125.33,98773,54778,42523,55.46,43.05
Hyogo,姫路市,Himeji,535.7,0.074,0.727,396,25.2,135.00,80309,54438,51827,67.79,64.53
Tokyo,台東区,Taito,186.3,0.153,1.612,285,23.6,43.97,35286,17683,14211,50.11,40.27
Fukuoka,筑紫野市,Chikushino,101.1,0.214,2.039,216,22.8,23.05,15991,10592,7796,66.24,48.75
Tokyo,中野区,Nakano,322.7,0.055,0.526,178,21.3,68.74,63762,33845,27534,53.08,43.18
Chiba,浦安市,Urayasu,164,0.143,1.196,235,15.9,26.08,31865,19646,15127,61.65,47.47
Tokyo,調布市,Chofu,229.1,0.138,1.308,317,21.2,48.57,40716,24243,18702,59.54,45.93
Kagoshima,鹿児島市,Kagoshima,599.8,0.098,0.947,586,24.8,148.75,92030,61884,47768,67.24,51.90
Hyogo,尼崎市,Amagasaki,452.6,0.040,0.441,181,27.7,125.37,67676,41072,30532,60.69,45.11
Tokyo,渋谷区,Shibuya,221.8,0.115,1.116,254,20.7,45.91,44303,22763,18790,51.38,42.41
Tokyo,町田市,Machida,432.3,0.101,1.248,437,25.6,110.67,63999,35022,24395,54.72,38.12
